"scientificName","Ecology","Biology","Dispersal"
"Amblycheila baroni Rivers, 1890","Ecology. Stenotopic, saxicolous, xerophilous, pholeophilous, crepuscular, epigean-fossorial (adult), fossorial (larva). Woodland (juniper, oak) canyons and craggy montane peaks: base of cliffs and boulders. Somewhat shaded ground, dry rocky soil. Larval habitat: A woodland canyon. Crepuscular: hides during the day in self constructed burrows, rodent burrows, rarely under large stones or logs. Gregarious.","Biology. Seasonality: June, July (mostly), September. Third-instar larvae: July. Adult food, in the laboratory: tenebrionid adults and larvae, drosophilid flies, and other insects. Larval food, in the laboratory: tenebrionid larvae. Larval parasites: bombyliid flies. Defense mechanism: Retreating to deep rocky fissures when disturbed. Best collected by bait trapping or pitfall trapping.","Dispersal power. Subapterous. Slow runner."
"Amblycheila cylindriformis (Say, 1823)","Ecology. Eurytopic, steppicolous, xerophilous, pholeophilous, myrmecophilous, crepuscular, epigean-fossorial (adult), fossorial (larvae). Banks, cliffs, gullies, ravines, ditches, and river bluffs Situated in hilly prairies, grasslands, cultivated lands, and pastures. Open ground, sloping, well-drained, dry, clayey (rarely sandy or rocky), bare or sparsely vegetated soil. Adults tend to walk at night in the vicinity of animal burrows or mesquite clumps, near the bases of or along the sides of clay banks. Larval habitat: Dry, clay banks and cliffs, often near mammal burrows, larval burrows (35-97.5 cm deep) nearly vertical for about 45 cm, turning to a subhorizontal position in their lower part, each larval colony limited to a 25 cm radius and usually consisting of 2 to 11 individuals. Nocturnal, mostly crepuscular, occasionally active on warm cloudy afternoons, usually hiding in the daytime and on cold days in self-constructed burrows, rodent burrows (gopher, kangaroo rat, badger), rattlesnake burrows, ant mounds, sometimes in yucca clumps and under stones or other objects, larva coming near the soil surface after sundown or earlier on cloudy days. Associated species: Pasimachus (carabids) and Eleodes (tenebrionids).","Biology. Seasonality: May-September. in KS, mostly June. Summer species. Mating: May. Oviposition: Groups of one to two dozen eggs deposited near the soil surface. Third-instar larvae: May and August. Omnivorous, predaceous, necrophagous. Adult food, in the field: caterpillars, acridid nymphs, cerambycids, scarabaeids, tenebrionids, ants, spiders, dead insects, carrion, and dried yucca petals. Noise of individuals shredding yucca petals can be heard at quite a distance. Adults sometimes cannibalistic. Adult food, in the laboratory: caterpillars, locusts, other insects, and fresh meat. Larval food, in the field: Ants and other insects (e.g., an adult Cicindela). Sight very poor. Predators: skunks, birds, and spiders. Defense mechanism: immediately retreating underground when emerging from its burrow and seeing movement; making no attempt to escape when disturbed outside of its burrow; sometimes delivering a painful bite when captured. Best collected with a flashlight in the earliest part of a warm, calm evening or by baiTier pitfall trapping. Not shy.","Dispersal power. Subapterous. Slow runner. When on the move, raising body very high and keeping the antennae in constant motion. Note. Before it was known to be nocturnal, the species was considered a rarity and commonly valued at 15 to 20 dollars each; for instance, the type of the beetle was sold for $300 by Thomas Say, and the second specimen, captured about 20 years later, was purchased for $50. By trading several hundreds specimens of this valuable tiger beetle as high as 25 dollars each, the well-known Professor F.H. Snow of the University of Kansas at Lawrence, the discoverer of its favorite haunt, was able both to consolidate an important general beetle collection at his university, and provide his collecting students a substantial amount of money to cover their university expenses for a whole year. As soon as the nocturnal habits of this species became known to the public, the price immediately went down to 50 cents per specimen."
"Amblycheila hoversoni Gage, 1991","Ecology. Stenotopic, silvicolous, psammophilous, pholeophilous, nocturnal, epigean- fossorial (adult). Mostly scrublands; also rangelands. Mostly shaded ground; well-drained, moist or dry, sandy soil mixed with silt and clay. Nocturnal; active after midnight; hiding during the day in animal burrows and leaf litter.","Biology. Seasonality: April-November, except June. Predaceous. Adult food, in the field: adult and larvae of camel crickets, spiders, and other arthropods. Adult food, in the laboratory: caterpillars, crickets, beetles, millipedes, and centipedes. Predators: various birds.","Dispersal power. Subapterous. Slow runner."
"Amblycheila picolominii Reiche, 1839","Ecology. Stenotopic, xerophilous, saxicolous, epigean. Rocky areas. Open ground; bare, dry, rocky soil. Nocturnal; seen active at dusk.","Biology. Seasonality: April-July.","Dispersal power. Subapterous. Slow runner."
"Cicindela unipunctata Fabricius, 1775","Ecology. Stenotopic, silvicolous, crepuscular, epigean (adult); fossorial (larva). Forests (e.g., oak, pine): shaded areas, open spots, roads, paths, trails, and powerline cuts. Shaded (usually) or ?pen ground; often dark or blackish, sandy, gravelly or earthy soil, preferably covered with a thick layer of dead, deciduous leaves and twigs or sometimes bare. Larval habitat: a steep, sparsely forested hillside with rocky, bare soil; burrows perpendicular for the first 7.5-10 em, then curving to an horizontal plane. Active from midday, but generally crepuscular; usually forages in late afternoon and early evening; normally active in the shade of dead fallen leaves dunng the day or, more rarely, hides in ground holes with its head alone being visible; observed running along roadways on cloudy days. Body temperature maintained more from the conduction of.heat.from the soil than from the solar radiation. Solitary or occurrmg m pairS.","Biology. Seasonality: April-September; mostly June-July. Sumn::er species. Mating: August; interspecific copulatiOn observed with C. sexguttata. Adult food, in the field: small ants. Predators: crows. Defense mechanism: cryptic coloration - body color and shape, especially its flat brown elytra, blend perfectly with dead leaves lying on the ground; stays motionless for up to 10 mm. or runs rapidly to hide under dead leaves (usually), twigs, stones or o:her debris when disturbed; rarely flies, if so, less than 2 m away; emits a strong scent or feigns death for about 2 min. When collected by hand, feigns death until put into a killing bottle. Best collected by pitfall trapping.","Dispersal power. Macropterous. Weak flier. Fast runner.",
"Cicindela velutinigrens (Johnson, 1992)","Ecology. Eurytopic, psammophilous, halotolerant, heliophobous, epigean. Roads, paths and grassy areas through semi-forested areas; gulf prairies, clay dunes, coastal salt flats, and salt marshes. ground; moist, sandy or clayey, sometimes saline soil vegetated with grass or forbes. Diurnal; adults tend to shelter in the grass away from bright sunlight.","Biology. Seasonality: May.","Dispersal power. Flightless. Fast runner.",
"Cicindela viridisticta arizonensis Bates, 1884","Ecology. Stenotopic, riparian, hygrophilous, epigean (adult); fossorial (larva). Edges of permanent ponds, river beds, irrigation ditches in cultivated fields, roadside ditches, shaded trails, and paths near streams. Open ground; sometimes sloping, moist, clayey soil sparsely to densely grassed. Adults tend to occur among the vegetation. Larval habitat: similar to adult (e.g., ditch edges), in burrows. Both diurnal and nocturnal. Associated species: C. hemorrhagica hemorrhagica and C. ocellata ocellata.","Biology. Seasonality: July-October. Duration of life cycle: I year. Oviposition: female digs large numbers of ovipositional holes. Predaceous. Adult food, in the field: ants. Adult food, in the laboratory: adult and larval tenebrionids, flies, and other insects. Acarid mites associated with larval body. Defense mechanism: prefers to run in the grass instead of flying when disturbed; escapes by an erratic, short flight (about 60 cm long) when pursued. Best captured by placing a net edge on the ground and herding the beetle into it with the hand.","Dispersal power. Macropterous. Weak flier. Attracted to artificial lights at night in cities. Slow runner.",
"Cicindela wapleri LeConte, 1875","Ecology. Stenotopic, riparian, hygrophilous, psammophilous, thermophobous, epigean. Banks and sand bars along blackwater rivers and brooks. Close to the water's edge. Open or half-shaded ground (e.g., under pine-trees); moist soil consisting of pure white sand, that makes a squeaking sound when trampled. Diurnal; basks in sandy areas in the morning, and moves closer to the water's edge as the temperature increases. Solitary. Associated species: C. blanda and C. repanda repanda.","Biology. Seasonality: May-October, mostly June-July. Summer species. Predators: oxyopid spiders. Defense mechanism: cryptic coloration - brown body color and white elytral maculations blend respectively with small debris or mud amassed on the white sand· when pursued darts around towards the shade of the steep upper bank rather than towards the water's edge. Less wary than C. blanda, easier to approach.","Dispersal power. Macropterous. Good flier, but with flight shorter than C. blanda. Fast runner.",
"Cicindela wickhami W. Horn, 1903","Ecology. Eurytopic, riparian, hygrophilous, epigean. Edges of streams, ditches, and ponds; in Mexico, unused roads in forested areas. Open ground; moist, bare soil.","Biology. Seasonality: June-August.","Dispersal power. Wing condition unknown. Attracted to artificial lights at night. Fast runner.",
"Cicindela willistoni echo Casey, 1897","Ecology. Stenotopic, riparian, hygrophilous, halophilous, epigean. Salt flats and beaches along lakes, reservoirs, streams, springs, and irrigation ditches. Open ground; often whitish, moist or wet, muddy, saline, bare or sparsely vegetated soil. Adults tend to occur in or near the bordering grasses. Diurnal. Associated species: C. tenuicincta, C. hemorrhagica hemorrhagica, and C. fulgida fulgida.","Biology. Seasonality: April-August. Predators: Spiders. Defense mechanism: Escapes by quickly flying for a long distance. Wary.","Dispersal power. Macropterous. Strong flier. Fast runner. Observed entering shallow water (2.5 cm deep) and running about in it to catch a prey. Quite active.",
"Cicindela willistoni estancia Rumpp, 1962","Ecology. Stenotopic, riparian, hygrophilous, halophilous, heliophilous, epigean. Alkali flats and salt flats bordering ponds, lakes, and playas. Open ground; wet, muddy, mostly alkaline soil, bare or vegetated with short grass. Adults tend to occur among grass. Diurnal; seen foraging in midmorning; hides on cloudy days in small burrows dug beneath alkali encrustations, head faces burrow opening.","Biology. Seasonality: May-September. Tenerals: September.","Dispersal power. Macropterous. Fast runner.",
"Cicindela willistoni funaroi Rotger, 1972","Ecology. Stenotopic, epigean. A saline meadow with water originating from mineral springs; hides in small burrows on a very windy day.","Biology. Seasonality: April.","Dispersal power. Macropterous. Fast runner.",
"Cicindela willistoni hirtifrons Willis, 1967","Ecology. Stenotopic, riparian, hygrophilous, halophilous, heliophilous, epigean (adult); fossorial (larva). Salt flats in marshes or borders of ponds and reservoirs; alkaline mud flat of a lake. Open ground; wet, muddy (rarely sandy- loamy), saline, bare or sparsely vegetated soil. Adults tend to occur on the bare areas of salt flats. Larval habitat: dry or moist, bare salt flats; burrows (third instar, 16-35 cm deep) with a chimney-like turret (up to 5.5 cm high) at their entrance. Diurnal; becomes active at 18-19°C; hides in burrows on cloudy days and during the night.","Biology. Seasonality: May-June, September. Spring-fall species. A larva observed closing its burrow for 7 days in order to molt from the first to the second instar (KS). Quite wary.","Dispersal power. Macropterous. Fast runner.",
"Cicindela willistoni praedicta Rumpp, I 956","Ecology. Stenotopic, hygrophilous, halophilous, epigean. Desert salt pans and river beds. Open ground; white, wet, alkaline soil vegetated with grass clumps. Diurnal. Gregarious.","Biology. Seasonality: March-May.","Dispersal power. Macropterous. Fast runner.",
"Cicindela willistoni pseudosenilis W. Hom, 1900","Ecology. Stenotopic, riparian, hygrophilous, halophilous, epigean. Beaches and flats bordering lakes; desert salt pans. Open ground; wet, white, muddy alkaline soil. Diurnal. Gregarious.","Biology. Seasonality: May-July, November. Mating: interspecific copulation observed with C. oregona oregona.","Dispersal power. Macropterous. Fast runner.",
"Cicindela willistoni sulfontis Rumpp, 1977","Ecology. Stenotopic, riparian, hygrophilous, halophilous, epigean (adult); thermophobous, fossorial (larva). Usually salt flats and alkali flats bordering playas and lakes; salty muds of semi-dry river beds, marshy areas, and pond edges. Open ground; wet or occasionally dry (May-June), muddy, saline soil. Larval habitat: edges, flats, and a roadside ditch along a playa; edge of a man-made reservoir; burrows (third instar, 14.1-22 cm deep, 18.5 cm deep on average) rather widely scattered, dug into wet, saline soil; each burrow with a chimney-like turret (1-4 cm high) at its entrance, used both for lowering the burrow's surface temperature and for attacking its prey. Diurnal; larva active throughout the day. Associated species: C. fulgoris fulgoris.","Biology. Seasonality: May-August. Duration of life cycle: 2 years. Predaceous. Adult food, in the laboratory: adult and larval tenebrionids, flies, and other insects. Larval food, in the laboratory: springtails, drosophilid flies or tenebrionid larvae. Larval parasites: bombyliid flies. Pyemotid mites associated with larval body. Defense mechanism: when alarmed, escapes by frequent flights (up to 10m).","Dispersal power. Macropterous. Strong flier. Fast runner. Conservation status. Rare subspecies.",
"Cicindela willistoni willis toni LeConte, 1879","Ecology. Stenotopic, riparian, hygrophilous, halophilous, thermophilous, epigean (adult); fossorial (larva). Alkali flats (mostly), salt flats, salt pans, and beaches of lakes and playas, reservoirs, streams, and seepages. Sometimes as far as 25 m from the water's edge. Adults tend to occur either in bare areas or among grass clumps. Larval habitat: a mud flat bordering a lake; burrows dug near grassy edges. Open ground; usually moist or wet (occasionally dry), muddy, saline, bare or sparsely vegetated soil. Diurnal; forages from 8:00A.M. until sunset; very active in warm weather. Gregarious.","Biology. Seasonality: June. Predaceous. Adult food, in the field: ants and a salticid spider. Predators: undetermined bird species. Defense mechanism: usually stays motionless on the ground; escapes by slow short flights (3-4 m long) when pursued. Best captured with a net.","Dispersal power. Macropterous. Weak flier. Slow runner.",
"Megacephala affinis angustata Chevrolat, 1841","Ecology. Stenotopic, riparian, epigean. River banks. Nocturnal.","Biology. Seasonality: May-September.","Dispersal power. Macropterous. Often attracted to artificial lights at night. Fast runner.",
"Megacephala carolina carolina (Linne, 1767)","Ecology. Eurytopic, riparian, hygrophilous, halotolerant, crepuscular, epigean (adult); fossorial (larva). A lover of stream mud flats. Mostly edges and bars of rivers, brooks, and edges of pools; also, fresh-water marshes, salt marshes, mud flats, salt flats, roadsides, cultivated fields (soybean, cotton, com), plowed fields, old fields, pastures, city gardens, lawns and streets, orchards (citrus), and sand dunes. Often associated with water. Open ground; moist or wet, preferably muddy, sometimes clayish or sandy, saline soil, bare or sparsely vegetated. Larval habitat: vacant lots, beaches, and flats; on open ground with hard-packed or loose, moist, usually muddy or clayey (sometimes sandy, gravelly or stony), bare or sparsely vegetated soil; burrow (third instar, 20-45 mm deep) wide, straight or slightly sloping. Nocturnal, mostly crepuscular, somet.imes also active in late afternoon, especially on cloudy days; male usually hides during the day under logs, boards, driftwood, stones, soapstone rocks, clods of earth, wheat shocks, trash piles, dead leaves, bunches of grass or in the cracks of dried mud; female usually digs a burrow for herself to spend the day, concealing its opening with a the leaf of a weed or a grass blade; after getting out of shelter in the evening, adult first goes to the water's edge, then thrusts its mandibles deep into the moisture and takes a long drink before searching for food. Gregarious.","Biology. Seasonality: March-November, mostly August; in SC, JuneOctober. Summer species. Mating: lasts about 2 min. Oviposition: in bun·ows ( 6 to 12 mm deep) dug into well-drained spots close to water. Predaceous. Adult food, in the field: caterpillars (mostly), coccinellids, and toadlets. Larva waiting for its prey at the entrance of its burrow, similarly to a Cicindela larva. Adult body sometimes covered with algae or protozoans. Defense mechanism: when disturbed, runs about with great rapidity and seeks shelter, instead of flying, or even plunges readily into the water to hide under a stone for a long time; if flying, always crawls up on something (e.g., a stick) to initiate a flight; produces defensive secretions when captured. Very shy. Best captured in the daytime by pouring water down the soil cracks and jumping on the mud, and, at night, around artificial lights or by pitfall trapping.","Dispersal power. Macropterous. Excellent flier at night, but unwilling to fly during the day. Often attracted in large numbers to artificial lights in cities at night. Fast runner.",
"Megacephala carolina floridana (Leng and Mutchler, 1916)","Ecology. A salt marsh. Nocturnal.","Biology. Seasonality: June.","Dispersal power. Macropterous. Attracted to artificial lights at night. Fast runner.",
"Megacephala virginica (Linne, 1767)","Ecology. Eurytopic, hygrophilous, halotolerant, crepuscular, epigean (adult); fossorial (larva). Edges of rivers, brooks, ponds, marshes, and sloughs; grasslands, prairies, pastures, old fields, vacant lots, cultivated fields (soybean, cotton, com, tobacco), city lawns and gardens, roadsides, roadcuts, sand pits, city streets and sidewalks, orchards (citrus), and open forests. Less closely associated with water than M. carolina carolina. Open ground; wet, moist or slightly dry, muddy, clayey or sandy, sometimes saline soil with bare spots or sparse vegetation. Larval habitat: lawns and little-used paths with more or less moist, clayey, sandy or gravelly soil; burrows (20-30 mm deep) straight or slightly sloping from the vertical; larva waits for its prey at the burrow entrance. Crepuscular (mostly) and nocturnal; sometimes active in the daytime after a rain or when cloudy; hides during the day in mud cracks, under cakes of dried mud, leaf litter, boards, stones, logs, dried cow chips, hay piles, clods of earth, pieces of paper, camping rubbish, and fence rails. Gregarious.","Biology. Seasonality: April-November; in NE, mostly AugustSeptember. Summer species. Predaceous. Adult food, in the field: caterpillars, mole crickets, coccinellids, chrysomelid eggs and larvae, a dytiscid, other insects, and earthworms. Adult observed hunting prey on city sidewalks in the deeper shade adjoining brightly illuminated areas. A major enemy and potential biocontrol agent of several species of South American mole crickets introduced into the southeastern United States, which have become major pests of pasture and turf grass. Larval food, in the field: chrysomelid larvae, other insects, and earthworms. Predators: toads and crows. Often falls and drowns in moderate numbers in swimming pools. Defense mechanism: when pursued, prefers to run rapidly and hide instead of flying; produces defensive secretions to deter predators. Best collected by barrier pitfall trapping or light trapping.","Dispersal power. Macropterous. Excellent flier at night. Often attracted to mtificiallights at night. Fast runner.",
